author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080997/;Москва;sale;flat;2;6;3;118.66;195551680;2024;-1;Монолитно-кирпичный;-1;Без отделки;48 м²;32,6 м²;+74951387122;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
Бюро Эстейт Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303395678/;Москва;sale;flat;5;21;3;120.0;115000000;2023;-1;-1;-1;-1;-1;-1;+79629186169;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308038194/;Москва;sale;flat;8;12;3;65.7;26610000;1973;-1;-1;-1;-1;44 м²;7,3 м²;+79099114698;Раменки;Мичуринский проспект;54К2;Раменки;
ANT Development;developer;https://www.cian.ru/sale/flat/303519403/;Москва;sale;flat;3;10;3;105.8;115430498;2024;-1;Монолитный;-1;Чистовая;-1;-1;+74951346248;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306888870/;Москва;sale;flat;25;35;3;137.6;70000000;2003;-1;-1;-1;-1;-1;20 м²;+79623676737;Щукино;Авиационная ;79К1;Щукинская;Алые Паруса
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301496697/;Москва;sale;flat;3;5;3;82.9;42900000;-1;-1;-1;-1;-1;-1;-1;+79660471567;Тверской;1-й Самотечный переулок;17А;Достоевская;
Среда;developer;https://www.cian.ru/sale/flat/304753723/;Москва;sale;flat;2;44;3;83.71;28859441;2027;-1;Монолитный;-1;Без отделки, предчистовая;38,4 м²;-1;+74951387079;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308896854/;Москва;sale;flat;7;14;3;206.0;289775400;-1;-1;-1;-1;-1;-1;-1;+79653590192;Арбат;Малый Новопесковский переулок;8;Смоленская;Дом на Смоленской набережной
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/308753890/;Москва;sale;flat;6;16;3;73.4;19500000;1980;-1;-1;-1;-1;44,4 м²;10,3 м²;+79689316484;Теплый Стан; Академика Варги;36;Генерала Тюленева;
Tekta Group;developer;https://www.cian.ru/sale/flat/306178079/;Москва;sale;flat;14;34;3;59.3;28339470;2025;-1;Монолитный;-1;Без отделки, предчистовая;37,9 м²;-1;+74951387095;Обручевский;;;Калужская;Эвер ЖК
ID 9732616;homeowner;https://www.cian.ru/sale/flat/307629661/;Москва;sale;flat;8;8;3;95.0;31000000;2008;-1;-1;-1;-1;51 м²;9 м²;+79856317646;Куркино;Соколово-Мещерская ;16/114;Молжаниново;
Дмитрий Асташов;realtor;https://www.cian.ru/sale/flat/307964340/;Москва;sale;flat;6;9;3;58.7;21000000;-1;-1;-1;-1;-1;44 м²;6,4 м²;+79160162374;Академический;Большая Черемушкинская ;2К1;Крымская;
MR Group;developer;https://www.cian.ru/sale/flat/306614056/;Москва;sale;flat;9;28;3;87.7;32115301;2027;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, предчистовая;57,7 м²;-1;+74997058993;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305275545/;Москва;sale;flat;11;20;3;117.1;46500000;-1;-1;-1;-1;-1;70 м²;20 м²;+79169862459;Свиблово;проезд Серебрякова;11к1;Ботанический сад;Silver
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300871845/;Москва;sale;flat;3;15;3;95.0;35000000;2000;-1;-1;-1;-1;65 м²;20 м²;+79166030210;Пресненский;Зоологическая ;30С2;Баррикадная;
Главстрой;developer;https://www.cian.ru/sale/flat/307942465/;Москва;sale;flat;5;35;3;95.73;40514371;2027;-1;Монолитный;-1;Без отделки;61,6 м²;9,1 м²;+74951387141;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307587007/;Москва;sale;flat;5;5;3;92.4;75000000;-1;-1;-1;-1;-1;69,4 м²;18 м²;+79164812988;Пресненский;Мерзляковский переулок;13;Арбатская;
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307699813/;Москва;sale;flat;4;9;3;52.0;17000000;1971;-1;-1;-1;-1;30 м²;6 м²;+79660472713;Северное Измайлово;Щелковское шоссе;12К2;Измайловская;
КОРТРОС;developer;https://www.cian.ru/sale/flat/296640175/;Москва;sale;flat;5;49;3;79.14;32051700;2027;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;36,7 м²;-1;+74951387167;Марьина роща;;;Марьина Роща;Тэйт ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306947550/;Москва;sale;flat;3;6;3;72.0;30000000;1929;-1;-1;-1;-1;-1;14 м²;+79660641529;Тверской;Новослободская ;73К3;Савёловская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303848561/;Москва;sale;flat;8;29;3;80.0;36900000;-1;-1;-1;-1;-1;50 м²;10 м²;+79660531281;Раменки;Мосфильмовская ;74Б;Ломоносовский проспект;Мосфильмовская
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065721/;Москва;sale;flat;2;18;3;118.1;134761000;2026;-1;Монолитный;-1;Без отделки, предчистовая;39,5 м²;-1;+74951387189;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303766764/;Москва;sale;flat;2;4;3;137.9;275110500;2015;-1;-1;-1;-1;-1;15 м²;+79851239069;Хамовники;Пречистенская набережная;7;Парк Культуры;Кленовый DOM
Romanov Estate;real_estate_agent;https://www.cian.ru/sale/flat/303857132/;Москва;sale;flat;12;58;3;62.3;25000000;2026;-1;-1;-1;Чистовая;38,9 м²;7 м²;+79636236030;Коньково;40-й кв-л;к2;Калужская;Обручева 30 ЖК
MR Group;developer;https://www.cian.ru/sale/flat/308909146/;Москва;sale;flat;11;13;3;141.9;252851610;2025;-1;Монолитно-кирпичный;-1;Чистовая;92,2 м²;6,2 м²;+74951387239;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/291925257/;Москва;sale;flat;3;9;3;148.5;189000000;-1;-1;-1;-1;-1;118 м²;-1;+79853420387;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/307817649/;Москва;sale;flat;4;25;3;81.0;22900000;-1;-1;-1;-1;-1;44 м²;27 м²;+79153383587;Рязанский; Васильцовский Стан;7к1;Текстильщики;
Sminex;developer;https://www.cian.ru/sale/flat/293713709/;Москва;sale;flat;2;14;3;142.1;309370000;2024;-1;Монолитный;-1;Без отделки;46,6 м²;44,5 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/307113533/;Москва;sale;flat;47;47;3;131.9;59355000;2021;-1;-1;-1;-1;-1;15 м²;+79165685817;Бутырский;Новодмитровская ;2к5;Дмитровская;Савеловский Сити
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/304590085/;Москва;sale;flat;4;11;3;80.0;41900000;-1;-1;-1;-1;-1;-1;35 м²;+79165727913;Свиблово;Лазоревый проезд;1;Ботанический сад;LIFE-Ботанический сад
Пионер;developer;https://www.cian.ru/sale/flat/308640109/;Москва;sale;flat;3;11;3;85.9;77617693;2025;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951387235;Даниловский;;;Павелецкая;Опус ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304304141/;Москва;sale;flat;7;18;3;89.7;98000000;2026;-1;-1;-1;-1;-1;10 м²;+79175343915;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
